RAJ2000,DEJ2000,SrcIDgaia,RAgaia,e_RAgaia,DEgaia,e_DEgaia,EPucac,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error
5.4417244,39.0311328,380010872330954880,5.4417508,0.4,39.0311036,0.2,2002.612,6.0,1.3,-8.5,1.3,13.433,13.432976595995683,68662.14824278039,24.59538314879904
5.4924542,39.0994694,380012624676858624,5.4924514,0.3,39.0994131,0.2,2002.611,-0.7,1.3,-16.4,1.3,13.638,13.638044467993915,56844.733968277775,23.320787536865435
5.4863242,39.0476808,380012178000262528,5.4863406,0.4,39.0476786,0.2,2002.611,3.7,1.5,-0.6,1.5,13.992,13.99204863260209,41028.777088417824,13.796745195773653
5.4302906,39.0024506,380010734892002176,5.43029,0.3,39.0024417,0.2,2002.603,-0.1,1.3,-2.6,1.3,14.024,14.024107675192564,39835.01228705912,17.816929502690652
5.5326614,39.0384581,380011490805495296,5.5326731,0.4,39.0384706,0.2,2002.61,2.6,1.5,3.6,1.5,14.174,14.174108710129383,34694.81223595319,16.801566989777104
5.4330872,39.0359203,380010941050431360,5.4331053,0.4,39.0359297,0.2,2002.609,4.1,1.7,2.7,1.7,14.349,14.348554858842606,29545.142025191362,38.95689846452159
5.4557844,39.1802119,380017091442841600,5.455805,0.7,39.1802022,0.2,2002.609,4.7,1.9,-2.9,1.9,14.673,14.673068008336044,21911.93960412712,33.69557676652033
5.4519167,39.1093656,380015510894881152,5.4519256,0.4,39.1093494,0.2,2002.609,2.0,1.8,-4.6,1.8,14.698,14.698049922901905,21413.519652947885,16.112925803976673
5.3478131,39.1127628,380015167297496960,5.3478147,0.5,39.1127494,0.2,2002.61,0.4,1.9,-3.9,1.8,14.762,14.761861022599522,20191.269081083352,30.156786232450308
5.4373475,39.0126386,380010769251740416,5.4373403,0.4,39.0126056,0.2,2002.61,-1.6,2.2,-9.6,2.2,14.768,14.767575295686694,20085.280779023993,12.014922315358124
5.4711872,39.0665675,380012487237906560,5.471195,0.4,39.0665567,0.2,2002.609,1.7,2.2,-3.2,2.2,14.86,14.860139036136228,18443.885229669333,234.0058284555111
5.3639617,39.1461131,380015373455925504,5.3639661,0.2,39.1460792,0.1,2002.609,1.0,1.9,-9.9,1.8,14.885,14.884843388754316,18028.959786344025,13.970785086026238
5.5123286,39.1153672,380013002633979520,5.5123231,0.2,39.1153539,0.1,2002.605,-1.2,2.2,-3.9,2.2,14.947,14.9472013343434,17022.66262194364,12.752076495823237
8.96464,38.3573881,368475346087189888,8.9646683,0.2,38.3573817,0.4,2002.257,6.3,2.1,-1.8,2.1,9.022,9.022077688617223,3990956.0950565846,2089.329510664917
8.9555981,38.431915,368476686116983424,8.9555411,0.2,38.4318856,0.3,2002.587,-13.0,1.4,-8.5,1.4,11.821,11.82149613115882,302907.18366988254,166.83918170848335
9.1455663,38.3988633,368478026146780928,9.1455928,23.4,38.3988756,21.4,2002.28,5.9,2.4,3.4,2.2,13.276,13.275821385820505,79355.9456316802,59.46558101233419
8.9608617,38.3965178,368476205080647680,8.9609114,9.0,38.3965372,15.0,2002.264,11.0,1.8,5.5,2.1,13.324,13.323537997019725,75943.8878860348,48.67428130041879
9.0768594,38.2851786,368471360357540992,9.0768744,11.2,38.28517,2.3,2002.299,3.3,1.8,-2.5,1.6,13.461,13.461186575521927,66901.12106609288,41.34228648916651
9.0750992,38.3779469,368478507183118976,9.0751086,21.7,38.3779208,20.0,2002.24,2.1,2.4,-7.4,2.4,14.131,14.131453373314041,36084.997222907645,22.343427223335855
9.0605047,38.4491944,368481736998817536,9.0604758,21.2,38.4491911,19.7,2002.183,-6.4,2.4,-0.9,2.3,14.151,14.151288981366418,35431.736131042504,19.423776962848702
9.1009933,38.4540992,368482080595905792,9.1010336,17.7,38.4541386,28.5,2001.965,8.7,2.4,10.9,2.9,14.172,14.172112683187756,34758.65414821503,22.516547946463437
9.0757108,38.4375103,368481668279046528,9.0757378,21.5,38.4375114,20.0,2002.198,5.9,2.6,0.3,2.4,14.195,14.19482909603341,34038.968198656585,25.578580939837803
9.0723842,38.4226942,368481668279315712,9.0724022,21.3,38.4226994,19.6,2002.196,4.0,2.4,1.5,2.3,14.273,14.272937921225953,31676.184001728365,26.242922641730388
9.0365053,38.3420486,368472459869167104,9.0365681,21.3,38.342045,19.8,2002.156,13.8,2.4,-1.0,2.3,14.339,14.339140813064745,29802.431628543152,19.7630522029358
9.0229772,38.3528461,368472528588842240,9.0229772,8.7,38.3528453,13.0,2002.211,0.0,2.1,-0.3,2.3,14.54,14.540163040518985,24765.255296192747,23.10559653454429
9.0483892,38.4525264,368481943156952704,9.0484125,20.5,38.4525297,19.2,2002.201,5.2,2.5,1.0,2.4,14.576,14.57610461855487,23958.86156209123,24.552075290117553
9.1489469,38.3201947,368477167153457792,9.1489794,19.9,38.3201825,18.5,2002.309,7.2,2.7,-3.5,2.6,14.585,14.585351624013274,23755.675046094155,56.061574017246436
9.0347264,38.4303506,368481805718275584,9.0347656,20.3,38.4303364,18.9,2002.106,8.6,2.5,-4.0,2.4,14.606,14.606310035834811,23301.507093231536,20.56362470097496
9.0896488,38.3067694,368471394717278976,9.0897214,10.6,38.3067392,2.2,2002.233,16.0,3.0,-8.5,2.9,14.718,14.718077315048186,21022.14849554196,340.71490400411176
9.0543131,38.4396894,368481638214334848,9.0543408,19.5,38.4397017,18.4,2002.072,6.1,2.5,3.4,2.5,14.747,14.746651396911002,20476.110603862653,101.00097730149518
9.0286444,38.2857925,368471772674561664,9.0286367,6.9,38.2857931,1.4,2002.314,-1.8,2.3,0.1,2.3,14.843,14.84306187043514,18736.27609013851,15.781075340580673
3.36962,41.6117233,383682588332665216,3.3696883,0.2,41.6116786,0.1,2002.664,14.9,1.9,-13.0,1.9,8.205,8.205045661179042,8470123.858606538,8562.3517972865
3.4256473,41.7421742,383731860196443776,3.4257403,0.2,41.7421875,0.1,2002.664,20.3,1.9,3.9,1.9,8.299,8.299166498445192,7766787.556814456,8425.519679872952
3.3372269,41.5159808,383676231781071104,3.3371978,0.5,41.5159458,0.3,2002.664,-6.4,1.9,-10.2,1.9,8.541,8.540912016162093,6216461.081533413,3305.2529078904736
3.2353103,41.8553767,383735742846875392,3.2354853,0.2,41.8551739,0.2,2002.665,38.1,2.0,-59.2,2.0,8.98,8.979711438675434,4149764.490033653,6315.7154100930775
3.2513189,41.6541797,383724713371902208,3.2513203,0.3,41.6541978,0.1,2002.66,0.3,1.5,5.3,1.5,9.09,9.090341849928546,3747755.8053413746,2714.0870192889597
3.6978347,41.7607211,383705025240777472,3.6978539,0.3,41.7607125,0.2,2002.667,4.2,1.9,-2.5,1.9,9.126,9.126104127772411,3626322.080899302,2921.90130285041
3.1615347,41.9262356,383749349303264896,3.1615694,0.2,41.9262172,0.2,2002.664,7.5,1.1,-5.3,1.1,9.475,9.474776947119356,2630251.3167486223,2798.446043983993
3.91541,41.46411,383498454495233408,3.9156872,0.4,41.4640558,0.2,2002.654,60.6,1.5,-15.8,1.5,9.524,9.524184536912479,2513241.432658667,3859.764709901946
3.8938361,41.5675072,383687467414476672,3.8938219,0.2,41.5674756,0.1,2002.659,-3.1,1.5,-9.2,1.5,9.605,9.605135366173233,2332673.0886518024,2367.449474731954
2.9540733,41.8106625,383743508148783744,2.9540692,0.3,41.8106325,0.2,2002.661,-0.9,1.2,-8.7,1.2,9.768,9.768042116468667,2007664.6811549957,3290.893638621817
4.1917872,41.6049047,383506013636003072,4.1917706,0.2,41.60487,0.1,2002.663,-3.6,1.3,-10.1,1.3,10.225,10.224746136693753,1318285.790244938,2158.680620951439
3.5066806,41.4182464,383670906021628160,3.5067489,0.2,41.4182689,0.1,2002.657,15.0,1.1,6.5,1.1,10.31,10.310268208566715,1218430.4447244247,1449.783706843152
3.9553919,41.7111325,383698771768396160,3.9553806,0.2,41.7111269,0.1,2002.664,-2.5,1.3,-1.7,1.3,10.422,10.42227036921024,1099005.5303306999,684.1557638741407
3.0167236,41.5747128,383351016857585664,3.0167172,0.3,41.5747153,0.1,2002.664,-1.4,1.1,0.7,1.1,10.457,10.456826236454202,1064578.1076669665,512.7815646647653
2.9817361,41.3968806,383344694665732224,2.9817492,0.3,41.3968753,0.2,2002.66,2.8,1.2,-1.5,1.1,10.474,10.473887431815054,1047980.1406917323,1570.7055225468446
3.0834028,41.5369883,383725194408244608,3.0833958,0.3,41.5369861,0.1,2002.666,-1.5,1.0,-0.6,1.0,10.617,10.617168825954197,918418.2290572957,467.7554986575547
3.2615052,41.4632267,383674238916248576,3.2615397,0.4,41.4632128,0.2,2002.657,7.5,1.1,-4.0,1.1,10.656,10.656471373734817,885766.9588030736,459.7738823778161
