guide_ra,guide_dec,phot_g_mean_mag,cmos_id
11.4508933,39.0144319,14.614,1
11.4521133,38.9918839,14.699,1
11.4019314,38.9905353,14.986,1
11.4061294,39.1181575,13.927,1
11.3623061,39.0950086,14.692,1
11.3046215,38.9752317,10.467,1
11.2879239,39.0219636,10.63,1
11.3322564,38.9902061,12.14,1
11.2922186,39.0340942,13.749,1
11.2663271,39.0389178,13.98,1
11.2216883,39.0213672,14.099,1
11.2933375,38.9932208,14.343,1
11.2890608,38.9839244,14.58,1
11.3035039,39.0722394,14.867,1
11.3364882,38.9408711,13.85,1
11.2857728,38.9288481,14.107,1
11.5134294,38.8467506,12.905,2
11.4825792,38.8416728,14.179,2
11.4342602,38.938245,11.825,2
11.4839456,38.975815,12.349,2
11.4324675,38.8899694,12.796,2
11.5484757,38.9108933,13.057,2
11.4389611,38.9590311,13.418,2
11.4099613,38.9635197,13.736,2
11.4853892,38.8997672,13.887,2
11.4735686,38.9112117,13.954,2
11.4913808,38.971265,14.493,2
11.4432667,38.8430356,11.922,2
11.3890975,38.8840667,12.968,2
11.3949481,38.9136422,13.56,2
11.3685228,38.8037758,13.709,2
11.4016556,38.8617164,13.719,2
11.3788475,38.8859619,13.825,2
11.3684006,38.85219,13.906,2
11.3542376,38.9200997,14.331,2
11.3420733,38.9280894,14.335,2
11.3558575,38.8763306,14.409,2
11.4235392,38.8062117,14.534,2
11.3743207,38.8010358,14.748,2
11.3797275,38.8462814,14.769,2
11.3164647,38.8935233,14.82,2
11.3447841,38.8951203,14.82,2
11.4023119,38.83995,14.827,2
11.5870278,38.7201189,8.737,3
11.6363682,38.7790831,11.966,3
11.5745922,38.8586978,12.508,3
11.6287392,38.7615561,12.966,3
11.5486772,38.8164194,13.755,3
11.6152174,38.7620831,13.801,3
11.5477978,38.8171736,14.274,3
11.5273583,38.8294447,14.551,3
11.5741771,38.8576272,14.583,3
11.5896436,38.7834081,14.719,3
11.4958512,38.8121783,14.792,3
11.5362571,38.7409225,14.945,3
11.4713027,38.79113,14.945,3
11.4341925,38.7452533,10.755,3
11.4604996,38.7029717,13.693,3
11.4453146,38.7379736,14.077,3
11.386041,38.7602722,14.321,3
11.5977067,38.6739961,10.378,4
11.5816894,38.63412,12.061,4
11.54317,38.563035,12.49,4
11.7038125,38.6479544,12.582,4
11.5199186,38.6178467,12.803,4
11.6194494,38.547985,13.304,4
11.6341333,38.6067869,13.335,4
11.5285794,38.5944372,13.76,4
11.6005841,38.5922244,13.88,4
11.5646819,38.6016597,13.938,4
11.7287897,38.6251908,13.951,4
11.5479344,38.5863161,14.058,4
11.5004231,38.6517714,14.261,4
11.5715175,38.6515992,14.384,4
11.5976497,38.5992961,14.391,4
11.7022033,38.5979089,14.463,4
11.6268631,38.6859981,14.544,4
11.5960847,38.6314603,14.744,4
11.5968397,38.6292167,14.836,4
11.6553003,38.7170547,14.985,4
11.5056123,38.5614317,13.83,4
12.7188475,39.8560797,10.383,5
12.6798686,39.8208489,10.959,5
12.7572833,39.8614403,12.281,5
12.7559592,39.8112381,12.492,5
12.7211869,39.8173256,13.297,5
12.7451622,39.7910742,13.366,5
12.7837489,39.8733236,13.6,5
12.7678633,39.7568308,13.825,5
12.6030269,39.8096964,14.03,5
12.7324706,39.8329864,14.228,5
12.6833489,39.7295864,14.262,5
12.8119591,39.771305,14.271,5
12.8179053,39.7668792,14.656,5
12.5716194,39.8158447,14.828,5
12.8202994,39.8439731,12.156,5
12.7918932,39.9002689,12.72,5
12.8103662,39.8529711,13.636,5
12.7506492,39.5885244,10.362,6
12.8532667,39.6492681,12.415,6
12.7595836,39.5922853,12.603,6
12.7472928,39.5971653,12.728,6
12.7337406,39.7088719,12.766,6
12.7309656,39.5697864,14.031,6
12.7834619,39.7213419,14.204,6
12.7254983,39.6082642,14.234,6
12.8177809,39.7244483,14.643,6
12.7978342,39.7046717,14.728,6
12.9252706,39.6451575,12.332,6
12.941312,39.6560364,13.166,6
12.8564744,39.7142239,13.785,6
12.8934317,39.736425,13.83,6
12.8877964,39.7593806,14.114,6
12.9030817,39.7065008,14.887,6
12.8276658,39.5789908,14.281,7
12.8755453,39.5991525,14.84,7
12.9581333,39.6313283,14.588,7
12.8224381,39.4289631,11.139,7
12.7948744,39.5272467,12.255,7
12.854025,39.5285706,12.97,7
12.7575697,39.5484447,14.391,7
12.8643931,39.5659056,14.485,7
12.8635175,39.5245786,14.5,7
12.8680586,39.5056197,14.624,7
12.8187726,39.4208394,14.884,7
12.7519011,39.5412878,14.893,7
12.8564067,39.5529244,14.973,7
13.0037153,39.5690086,10.442,7
12.9444178,39.5712728,13.376,7
12.9791,39.5562597,13.726,7
12.9577236,39.4999247,13.766,7
13.0027208,39.5459514,13.805,7
12.9383183,39.6008569,14.015,7
12.9886994,39.4996344,14.043,7
