guide_ra,guide_dec,phot_g_mean_mag,cmos_id
3.7459733,42.2921894,12.827,2
3.8763117,42.2895394,12.949,2
3.7341841,42.2897728,13.557,2
3.7568611,42.3341328,13.587,2
3.7309364,42.2898919,13.791,2
3.8081628,42.3180122,13.847,2
3.6924056,42.3076894,14.549,2
3.823735,42.2563756,14.658,2
3.7423317,42.3069922,14.748,2
3.7071186,42.3160264,14.923,2
3.7521029,42.2581206,14.978,2
5.0353736,41.8220853,12.61,3
5.1109517,41.8153714,12.916,3
5.1135817,41.8046631,13.112,3
5.0734994,41.8720494,13.745,3
5.025185,41.8168211,14.118,3
5.1002011,41.808525,14.127,3
5.0321778,41.7915231,13.581,3
5.258231,41.8475681,11.688,4
5.1386936,41.88123,13.068,4
5.2532872,41.8135431,14.63,4
5.1604989,41.8761086,14.706,4
5.1492254,41.8952739,12.993,4
5.2150006,41.9607733,14.375,4
5.1295797,41.9081911,14.507,4
5.2325633,41.9519597,14.995,4
5.264585,41.8977489,11.292,4
5.2474844,41.8964003,14.279,4
5.3017775,41.8843553,14.312,4
5.2927194,41.8400514,14.552,4
5.2682983,41.8796883,14.73,4
5.2811931,41.8847044,14.765,4
5.5869575,40.4671392,12.077,1
5.5709572,40.4410367,13.311,1
5.6442947,40.377485,14.872,1
5.4679528,40.4763283,13.005,1
5.4665983,40.4816239,13.005,1
5.4516944,40.4723983,13.014,1
5.5190008,40.4330292,13.547,1
5.4822633,40.4390031,13.641,1
5.4908208,40.4578308,13.749,1
5.5506108,40.43641,14.582,1
5.54985,40.3457825,12.201,1
5.5201533,40.3503397,12.73,1
5.585694,40.3580842,13.547,1
5.5515517,40.3702181,13.793,1
5.5206478,40.3881808,14.023,1
5.5577533,40.3462297,14.673,1
5.5365919,40.3796806,14.678,1
5.5627978,40.3974061,14.963,1
5.7120572,40.4042975,11.2,2
5.7696857,40.4926147,13.28,2
5.7534586,40.5056806,13.896,2
5.6842932,40.4620147,14.93,2
5.8164947,40.4525817,12.39,2
5.7967653,40.4770392,12.84,2
5.6922172,40.5237433,11.399,2
5.632105,40.5088322,12.069,2
5.6729106,40.4918039,12.232,2
5.7327522,40.5369764,13.823,2
5.6618147,40.5537839,14.475,2
5.7507555,40.5290883,14.716,2
5.6071042,40.5284589,14.899,2
5.6942044,40.5565683,14.927,2
6.906794,40.0249619,12.337,3
6.8771856,40.0275183,13.896,3
6.91995,40.0461519,13.986,3
6.9369236,40.0119783,14.166,3
6.8619781,39.9800844,14.243,3
6.9714603,39.9827217,10.753,3
7.0080245,39.9248881,12.874,3
6.9874049,39.9773447,14.468,3
6.9959314,39.9755253,14.653,3
6.9954836,39.8909433,14.696,3
6.9073561,39.9701317,14.712,3
7.1921428,40.0394694,14.594,4
7.2138797,39.9885511,14.666,4
7.1749647,40.0638897,14.998,4
7.0646791,40.0550211,13.913,4
7.1192347,40.0884103,14.536,4
7.0999492,39.9778531,11.301,4
7.1659445,39.9746239,11.586,4
7.1678348,40.0025639,13.21,4
7.0999025,40.0541108,13.563,4
7.1736406,39.9964831,13.617,4
7.1154364,39.9880258,13.872,4
7.1408489,40.0470475,13.935,4
7.0736275,40.0077619,14.753,4
7.1256108,39.9697464,14.795,4
7.1243175,40.0271186,14.935,4
7.0473506,40.0424139,14.995,4
9.7834594,41.0390381,13.102,1
9.7727822,40.9299933,11.73,1
